Instrument Serial Num,Reading #,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Sample ID,Project No.,Sample Type,Operator,Notes, Units,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Pb Concentration,Pb Error1s,Real Time 1,Real Time 2,Real Time 3,
801662,63,Resin04,,63,No,,,C1201-A,,In Situ,,,PPM,<LOD,17,518,4,27,1,3,1,6,1,24,1,<LOD,3,<LOD,2,22,1,37,3,<LOD,8,<LOD,12,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,64,Resin04,,64,No,,,D101-C,,In Situ,,,PPM,<LOD,24,4134,23,11,1,6,1,10,1,13,1,<LOD,4,<LOD,2,188,2,<LOD,10,323,12,<LOD,19,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,65,Resin04,,65,No,,,D201-C,,In Situ,,,PPM,147,10,2594,17,8,1,9,1,15,1,12,1,10,2,7,1,19,1,<LOD,11,156,8,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,66,Resin04,,66,No,,,D201-A,,In Situ,,,PPM,<LOD,17,379,3,8,1,<LOD,2,3,1,16,1,<LOD,4,14,1,4,0,26,3,<LOD,8,<LOD,13,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,67,Resin04,,67,No,,,D301-A,,In Situ,,,PPM,<LOD,14,360,3,5,0,4,1,10,1,3,1,<LOD,4,151,2,2,0,44,3,<LOD,9,<LOD,12,6,2,<LOD,7,<LOD,1,20,20,20,
801662,68,Resin04,,68,No,,,D301-C,,In Situ,,,PPM,514,13,14787,59,5,1,4,1,119,1,15,1,30,2,22,1,17,1,<LOD,12,1219,26,<LOD,31,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,69,Resin04,,69,No,,,D401-C,,In Situ,,,PPM,511,12,4348,23,8,1,7,1,30,1,23,1,30,2,153,2,52,1,<LOD,10,297,11,<LOD,17,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,70,Resin04,,70,No,,,D401-A,,In Situ,,,PPM,<LOD,14,353,3,3,0,3,1,5,1,5,1,<LOD,3,79,1,3,0,33,3,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,71,Resin04,,71,No,,,D501-A,,In Situ,,,PPM,<LOD,14,441,4,12,1,40,1,7,1,11,1,232,3,179,2,7,1,75,4,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,72,Resin04,,72,No,,,D501-C,,In Situ,,,PPM,3437,29,18595,73,11,1,17,1,9,1,12,1,151,3,17,1,23,1,39,5,2027,37,48,14,<LOD,5,<LOD,6,<LOD,2,20,20,20,
